indice,titulo,descripcion,carpeta,imagenes
29,"Depto para 2 y 3 personas, Callao 930","Detalles
Enviar mensaje a la empresa","30 - Depto para 2 y 3 personas, Callao 930",10
30,"Depto para 1 y 2 personas, Callao 930","Detalles
Enviar mensaje a la empresa","31 - Depto para 1 y 2 personas, Callao 930",10
31,"Depto para 1 y 2 personas, Palermo","Detalles
Enviar mensaje a la empresa","32 - Depto para 1 y 2 personas, Palermo",9
32,"Depto para 2 y 3 personas, Callao 930","Detalles
Enviar mensaje a la empresa","33 - Depto para 2 y 3 personas, Callao 930",7
33,"Depto para 1 y 2 personas, Callao 930","Detalles
Enviar mensaje a la empresa","34 - Depto para 1 y 2 personas, Callao 930",10
34,"Depto para 1 y 2 personas, Callao 930","Detalles
Enviar mensaje a la empresa","35 - Depto para 1 y 2 personas, Callao 930",9
35,"Depto para 1 y 2 personas, Viamonte","Detalles
Enviar mensaje a la empresa","36 - Depto para 1 y 2 personas, Viamonte",10
36,"Depto para 2 y 3 personas, Callao 966","Detalles
Enviar mensaje a la empresa","37 - Depto para 2 y 3 personas, Callao 966",10
37,"Depto para 2 y 3 personas, Callao 930","Detalles
Enviar mensaje a la empresa","38 - Depto para 2 y 3 personas, Callao 930",10
38,"Depto para 2 y 3 personas, Callao 930","Detalles
Enviar mensaje a la empresa","39 - Depto para 2 y 3 personas, Callao 930",9
39,"Depto para 2 y 3 personas, Callao 966","Detalles
Enviar mensaje a la empresa","40 - Depto para 2 y 3 personas, Callao 966",10
40,"Depto para 3 y 4 personas, Callao 966","Detalles
Enviar mensaje a la empresa","41 - Depto para 3 y 4 personas, Callao 966",7
41,"Depto para 2 y 3 personas, Viamonte","Detalles
Enviar mensaje a la empresa","42 - Depto para 2 y 3 personas, Viamonte",10
42,"Depto para 1 y 2 personas, Florida","Detalles
Enviar mensaje a la empresa","43 - Depto para 1 y 2 personas, Florida",10
43,Depto para 1 y 2 personas,"Detalles
Enviar mensaje a la empresa",44 - Depto para 1 y 2 personas,10
44,"Depto para 1 y 2 personas, Palermo","Detalles
Enviar mensaje a la empresa","45 - Depto para 1 y 2 personas, Palermo",10
